"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-9345718","","2018-10-17T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","St. Vejleådalen","Denmark",55.65744196994275,12.33696579001844,1000,"Ole Sparre Pedersen","ved og rødder af døde træer","mose","el (Alnus)","Mose, på mosbegroet væltet stamme.","Hat 25-35 mm, glat. Stok gråhvid, 3-4 x 4-5,5 mm med stribet ring. Sp. 8,5-9 x 5-6, gns 8,9 x 5,6 my. Q 1.3-1.8. Cheilocystider variable, men mest a la  P. rugosa (ligesom sportmål),  p., 642 Fayod, men denne har mørkere stok og ikke glat hat. Går ud fra de kort nedløbende lameller er indfødt variation eller er det en helt anden slægt?","Ole Sparre Pedersen","Thomas Kehlet","https://svampe.databasen.org/observations/9345718"
"DMS-9346028","","2018-10-21T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Auning Skov","Denmark",56.425105154929966,10.421424867818132,50,"Kirsten Damgaard Nielsen","træflis og savsmuld","løvskov","",,,"Kirsten Damgaard Nielsen","Thomas Læssøe","https://svampe.databasen.org/observations/9346028"
"DMS-9345885","","2018-10-20T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Høgdal, Rodelund","Denmark",56.10904934071768,9.62369754910469,75,"Torbjørn Borgen","døde urtestængler, græsstrå mv.","overdrev","","2 eks. mellem mos og græs, ved et af Clavaria zollingeri stederne","Lille spinkel, hat og stok ikke pruinøse, lugt lidt ram, ikke melagtig, stok med smal ringzone.","Torbjørn Borgen","Torbjørn Borgen","https://svampe.databasen.org/observations/9345885"
"DMS-9346569","","2018-10-22T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Næstved Øvelsesplads","Denmark",55.22373119,11.81576589,15,"Frede Scheye","jord eller humus","pilemose/-krat","pil (Salix)","På fugtig leret jord ved kanten af moseområde, med tilknytning til mørnet træ. ","Tør hat 25-30 mm, lameller bredt tilhæftet, smag neutral, ingen duft kan erkendes. Har forsøgt at nøgle med MycoKey og Atlas-nøgle til Cortinarius, uden brugbart resultat. Måske er det slet ikke noget Cortinarius....","Frede Scheye","Thomas Kehlet","https://svampe.databasen.org/observations/9346569"
"DMS-9346649","","2018-10-24T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Glostrup (Glostrup)","Denmark",55.67490438050398,12.391896920198633,5,"Thomas Kehlet","jord eller humus","park/kirkegård","",,"Med fladecystider. Sp. op til 10 µm.","Thomas Kehlet, Hanne Farnæs","Thomas Kehlet","https://svampe.databasen.org/observations/9346649"
"DMS-9347755","","2018-10-30T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Egeskov","Denmark",54.68626135452471,11.519645688822493,50,"Flemming Ryden","ved og rødder af døde træer","nåleskov/plantage","gran (Picea)","små frl. på stub",,"Flemming Ryden","Flemming Ryden","https://svampe.databasen.org/observations/9347755"
"DMS-9347832","","2018-10-30T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Jægersborg Hegn","Denmark",55.8201874062612,12.567982524633408,75,"Mathias Hass","ved og rødder af døde træer","løvskov","bøg (Fagus)","Ca 20 frugtlegmer på bøgestub hvor der også groede en masse foranderlige skælhatte","fedtet hat. Mere lugtsvag end foranderlig skælhat.","Mathias Hass","Mathias Hass","https://svampe.databasen.org/observations/9347832"
"DMS-9347848","","2018-10-31T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Hydeskov","Denmark",54.76475024004632,11.715133662801236,75,"Flemming Ryden","ved og rødder af døde træer","blandskov (med løv- og nåletræer)","","mange nye frl på død løvtræsstamme",,"Flemming Ryden","Flemming Ryden","https://svampe.databasen.org/observations/9347848"
"DMS-9348901","","2018-11-02T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Geddesø (Additsøerne)","Denmark",56.06766376383074,9.610518179833889,25,"Jens Mårbjerg","ved og rødder af døde træer","nåleskov/plantage","gran (Picea)",,,"Jens Mårbjerg","Jens Mårbjerg","https://svampe.databasen.org/observations/9348901"
"DMS-9349158","","2018-11-04T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Skodsborg","Denmark",55.810445951401555,12.572410584543832,50,"Grith Styrck Carlsen","ved og rødder af døde træer","løvskov","bøg (Fagus)","få ex. på flere af de liggende stammer",,"Grith Styrck Carlsen","Grith Styrck Carlsen","https://svampe.databasen.org/observations/9349158"
"DMS-9349230","","2018-11-04T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Gribskov, Duemosehus","Denmark",56.00572393985412,12.267445921024773,25,"Jakob S.M Raarup","ved og rødder af døde træer","løvskov","bøg (Fagus)",,,"Jakob S.M Raarup","Jakob S.M Raarup","https://svampe.databasen.org/observations/9349230"
